,team,period,minute,is_goal,x,y
195,chelsea,1,10,0,90.8,100.0
196,chelsea,1,10,0,72.5,88.5
197,chelsea,1,10,0,67.1,57.5
198,chelsea,1,10,0,67.8,27.1
199,chelsea,1,11,0,67.6,39.4
200,chelsea,1,11,0,70.3,10.6
201,chelsea,1,11,0,60.2,24.7
202,chelsea,1,11,0,67.8,19.7
203,chelsea,1,11,0,38.6,54.3
204,chelsea,1,11,0,47.3,82.5
205,chelsea,1,11,0,52.5,64.4
206,chelsea,1,11,0,56.5,53.4
207,chelsea,1,11,0,58.3,30.8
208,chelsea,1,11,0,63.8,15.7
209,chelsea,1,11,0,79.3,35.6
210,crystal palace,1,12,0,3.7,48.5
211,crystal palace,1,12,0,3.6,32.4
212,crystal palace,1,12,0,6.6,53.0
213,crystal palace,1,12,0,55.2,94.5
214,chelsea,1,12,0,56.8,9.7
215,chelsea,1,12,0,40.4,14.2
217,chelsea,1,12,0,14.3,55.4
219,crystal palace,1,12,0,74.0,0.0
220,crystal palace,1,12,0,58.3,6.8
221,crystal palace,1,12,0,35.9,33.6
222,crystal palace,1,12,0,53.0,82.6
223,crystal palace,1,12,0,63.6,95.7
224,crystal palace,1,12,0,60.0,69.7
225,chelsea,1,12,0,32.0,32.6
227,chelsea,1,12,0,47.5,45.4
229,chelsea,1,12,0,65.2,42.8
232,chelsea,1,13,0,69.1,32.9
233,chelsea,1,13,0,73.3,37.0
235,chelsea,1,13,0,36.7,27.7
236,chelsea,1,13,0,46.7,42.1
237,chelsea,1,13,0,40.1,62.0
238,chelsea,1,13,0,25.5,38.8
239,crystal palace,1,14,0,25.7,14.9
240,crystal palace,1,14,0,15.5,29.5
241,crystal palace,1,14,0,44.2,10.4
242,chelsea,1,14,0,41.8,64.5
243,chelsea,1,14,0,36.8,68.4
244,chelsea,1,14,0,37.8,48.1
245,chelsea,1,14,0,60.7,13.3
246,chelsea,1,14,0,75.3,6.1
247,chelsea,1,14,0,67.3,15.5
248,chelsea,1,14,0,62.1,41.0
